location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop,population,white,black,asian,hispanic
New York,2020-03-22,9.464982590349763,0,janssen,0.552,0.14,0.086,0.193,19453561,16.18933346339861,14.817427839730819,14.330132713375022,15.1384756060264
Delaware,2020-03-22,7.003065458786462,0,janssen,0.614,0.218,0.039,0.097,973764,13.301163902635679,12.265664037277626,10.544730620618182,11.45587995299192
District of Columbia,2020-03-22,6.802394763324311,0,janssen,0.367,0.45,0.037,0.112,705749,12.464621498254823,12.668507232964618,10.170177562844477,11.277758521495349
Maryland,2020-03-22,8.83927669058535,0,janssen,0.499,0.296,0.064,0.106,6045680,14.919705342134801,14.397458700707343,12.865982329742954,13.370538340495349
Pennsylvania,2020-03-22,9.472704636443673,0,janssen,0.76,0.104,0.035,0.078,12801989,16.090674261741214,14.101746727602208,13.01270388995025,13.814064655150428
Virginia,2020-03-22,9.169518377455928,0,janssen,0.613,0.189,0.067,0.096,8535519,15.470356377751846,14.293738456875278,13.256684061206602,13.616339633283472
West Virginia,2020-03-22,7.696212639346407,0,janssen,0.925,0.032,0.008,0.014,1792147,14.320963358932921,10.956905524220224,9.570611163100333,10.130226951035755
Alabama,2020-03-22,8.630521876723241,0,janssen,0.654,0.265,0.014,0.044,4903185,14.980747624397415,14.077370098926437,11.136697602555474,12.281829906858476
Florida,2020-03-22,10.089967119478747,0,janssen,0.53,0.15,0.027,0.266,21477737,16.247649195801362,14.985407483351448,13.270609055259522,15.558268498036892
Georgia,2020-03-22,9.350102314351341,0,janssen,0.52,0.313,0.041,0.098,10617423,15.524080421558594,15.016454800523274,12.983823676687429,13.855219088653692
Kentucky,2020-03-22,8.536995818712418,0,janssen,0.845,0.08,0.016,0.037,4467673,15.143959597759633,12.78664960507634,11.17721169264224,12.015540883046683
Mississippi,2020-03-22,8.131530710604252,0,janssen,0.566,0.376,0.01,0.03,2976149,14.336979540107146,13.927974605293857,10.300970554898008,11.399582843566119
